DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
5/5/23,13:00:00,BAL,,Cash balance at the start of business day 05.05 CST,,,,"62,201.72"
5/5/23,21:31:01,TRD,1672336200,BOT +100 COIN @54.90,,,"-5,490.00","56,711.72"
5/5/23,21:31:06,TRD,1672340302,BOT +100 DBX @20.88,,,"-2,088.00","54,623.72"
5/5/23,21:35:14,TRD,1672398607,"tIP SOLD -1,000 MGI @10.93",-0.18,,"10,930.00","65,553.54"
5/5/23,21:36:54,TRD,1672396429,tIP SOLD -100 COIN @55.33,-0.09,,"5,533.00","71,086.45"
5/5/23,22:43:15,TRD,1672553982,"BOT +1,000 MINM @5.37",,,"-5,370.00","65,716.45"
5/5/23,22:43:49,TRD,1672553997,"SOLD -1,000 MINM @5.45",-0.09,,"5,450.00","71,166.36"
5/5/23,22:44:53,TRD,1672557780,BOT +100 TPC @5.99,,,-599.00,"70,567.36"
5/5/23,22:46:01,TRD,1672560542,"BOT +1,000 MINM @5.25",,,"-5,250.00","65,317.36"
5/5/23,22:46:19,TRD,1672560550,"SOLD -1,000 MINM @5.19",-0.09,,"5,190.00","70,507.27"
5/5/23,22:46:36,TRD,1672557785,SOLD -100 TPC @5.92,-0.01,,592.00,"71,099.26"
5/5/23,22:46:37,TRD,1672557785,SOLD -100 TPC @5.91,-0.01,,591.00,"71,690.25"
5/5/23,22:50:31,TRD,1672566525,"BOT +1,000 MINM @5.09",,,"-5,090.00","66,600.25"
5/5/23,22:51:05,TRD,1672566559,"SOLD -1,000 MINM @5.28",-0.09,,"5,280.00","71,880.16"
5/5/23,22:51:54,TRD,1672569206,"BOT +1,000 MINM @5.28",,,"-5,280.00","66,600.16"
5/5/23,22:53:36,TRD,1672569214,"SOLD -1,000 MINM @5.20",-0.09,,"5,200.00","71,800.07"
5/5/23,22:57:42,TRD,1672574044,"BOT +1,000 LUCY @2.84",,,"-2,840.00","68,960.07"
5/5/23,22:58:52,TRD,1672574061,"SOLD -1,000 LUCY @2.80",-0.05,,"2,800.00","71,760.02"
5/5/23,23:00:02,TRD,1672577932,"BOT +1,000 TCJH @4.33",,,"-4,330.00","67,430.02"
5/5/23,23:01:47,TRD,1672581405,"BOT +1,000 SGMA @3.44",,,"-3,440.00","63,990.02"
5/5/23,23:01:51,TRD,1672577942,"SOLD -1,000 TCJH @4.55",-0.08,,"4,550.00","68,539.94"
5/5/23,23:03:38,TRD,1672581471,BOT +500 BAOS @8.25,,,"-4,125.00","64,414.94"
5/5/23,23:03:51,TRD,1672581484,SOLD -500 BAOS @8.20,-0.07,,"4,100.00","68,514.87"
5/5/23,23:07:12,TRD,1672587561,"BOT +10,000 SLQT @1.30",,,"-13,000.00","55,514.87"
5/5/23,23:08:18,TRD,1672581410,"SOLD -1,000 SGMA @3.43",-0.06,,"3,430.00","58,944.81"
5/5/23,23:09:10,TRD,1672589435,"SOLD -10,000 SLQT @1.31",-0.22,,"13,100.00","72,044.59"
5/5/23,23:12:19,TRD,1672593574,"BOT +1,000 ASNS @4.44",,,"-4,440.00","67,604.59"
5/5/23,23:14:39,TRD,1672597117,"SOLD -1,000 ASNS @4.43",-0.07,,"4,430.00","72,034.52"
5/5/23,23:16:19,TRD,1672600526,"BOT +1,000 HCDI @6.26",,,"-6,260.00","65,774.52"
5/5/23,23:17:16,TRD,1672600537,"SOLD -1,000 HCDI @6.25",-0.11,,"6,250.00","72,024.41"
5/5/23,23:38:35,TRD,1672625421,"BOT +1,000 CDLX @6.18",,,"-6,180.00","65,844.41"
5/5/23,23:39:22,TRD,1672625429,"SOLD -1,000 CDLX @6.14",-0.10,,"6,140.00","71,984.31"
5/5/23,23:50:01,TRD,1672635419,"BOT +1,000 NNOX @14.83",,,"-14,830.00","57,154.31"
5/5/23,23:50:40,TRD,1672635440,"BOT +1,000 IMGN @13.26",,,"-13,260.00","43,894.31"
5/5/23,23:54:00,TRD,1672635449,"SOLD -1,000 IMGN @13.19",-0.22,,"13,190.00","57,084.09"
5/5/23,23:54:35,TRD,1672635430,"SOLD -1,000 NNOX @14.75",-0.25,,"14,750.00","71,833.84"
5/6/23,00:16:27,TRD,1672657924,"BOT +1,000 PACW @5.88",,,"-5,880.00","65,953.84"
5/6/23,00:33:31,TRD,1672657960,"SOLD -1,000 PACW @5.90",-0.10,,"5,900.00","71,853.74"
5/6/23,01:07:56,TRD,1672700542,BOT +200 COIN @57.63,,,"-11,526.00","60,327.74"
5/6/23,01:17:12,TRD,1672706654,"BOT +1,000 LOMA @6.42",,,"-6,420.00","53,907.74"
5/6/23,01:17:58,TRD,1672706670,BOT +100 BAP @140.71,,,"-14,071.00","39,836.74"
5/6/23,01:31:14,TRD,1672716194,BOT +100 ARKK @37.46,,,"-3,746.00","36,090.74"
5/6/23,01:32:08,TRD,1672719626,BOT +100 SE @79.29,,,"-7,929.00","28,161.74"
5/6/23,01:33:10,TRD,1672719651,BOT +500 SNAP @8.21,,,"-4,105.00","24,056.74"
5/6/23,01:47:27,TRD,1672722609,SOLD -200 COIN @57.48,-0.19,,"11,496.00","35,552.55"
5/6/23,02:45:04,TRD,1672779032,"BOT +1,000 DXF @.2695",,,-269.50,"35,283.05"
5/6/23,02:47:29,TRD,1672781038,BOT +300 SOXL @14.55,,,"-4,365.00","30,918.05"
5/6/23,02:53:01,TRD,1672779045,"SOLD -1,000 DXF @.2696",-0.01,,269.60,"31,187.64"
5/6/23,03:19:18,TRD,1672781054,SOLD -300 SOXL @14.54,-0.07,,"4,362.00","35,549.57"
5/6/23,03:58:01,TRD,1672719692,"SOLD -1,000 LOMA @6.33",-0.11,,"6,330.00","41,879.46"
5/6/23,03:58:55,TRD,1672722619,"SOLD -1,000 TQQQ @28.19",-0.48,,"28,190.00","70,068.98"
